Name	Length	Identity	Relative length	Strand
1	10000	99.95002	99.95002	+
10	10000	99.97000	99.99000	+
100	10000	99.99000	99.99000	+
101	10000	99.92003	100.00000	+
102	10000	99.96001	99.99000	+
103	10000	99.92006	99.92006	+
104	10000	99.97001	99.97001	+
105	10000	99.93003	99.97001	+
106	10000	99.97000	100.01000	+
107	10000	99.88008	99.98000	+
108	10000	99.84011	99.97001	+
109	10000	99.92005	99.94004	+
11	10000	99.91007	99.93005	+
110	10000	99.97001	99.98000	+
111	10000	99.93003	99.98000	+
112	10000	99.94001	100.01000	+
113	10000	99.93003	99.98000	+
114	10000	99.96002	99.97001	+
115	10000	99.91006	99.94004	+
116	10000	99.93002	100.01000	+
117	10000	99.93004	99.94004	+
118	10000	99.96001	99.99000	+
119	10000	99.94003	99.95002	+
12	10000	99.97001	99.97001	+
120	10000	99.88008	99.95002	+
121	10000	99.96001	100.00000	+
122	10000	99.98000	100.00000	+
123	10000	99.91004	99.98000	+
124	10000	99.91006	99.94004	+
125	10000	99.92003	100.00000	+
126	10000	99.95002	99.96002	+
127	10000	99.95002	99.95002	+
128	10000	99.92006	99.93005	+
129	10000	99.98000	100.00000	+
13	10000	99.94003	99.96002	+
130	10000	99.95002	99.97001	+
131	10000	99.88008	99.97001	+
132	10000	99.92006	99.94004	+
133	10000	99.95002	99.97001	+
134	10000	99.93002	99.98000	+
135	10000	99.95002	99.95002	+
136	10000	99.96001	100.00000	+
137	10000	99.95002	99.96002	+
138	10000	99.90009	99.92006	+
139	10000	99.92006	99.94004	+
14	10000	99.93003	99.96002	+
140	10000	99.92004	99.96002	+
141	10000	99.92002	100.02000	+
142	10000	99.92003	99.98000	+
143	10000	99.92006	99.94004	+
144	10000	99.97001	99.99000	+
145	10000	99.92005	99.96002	+
146	10000	99.95002	99.95002	+
147	10000	99.93005	99.93005	+
148	10000	99.92006	99.92006	+
149	10000	99.96001	99.98000	+
15	10000	99.95000	100.03001	+
150	10000	99.94003	99.95002	+
151	10000	99.95001	99.99000	+
152	10000	99.97001	99.99000	+
153	10000	99.92006	99.92006	+
154	10000	99.96002	99.96002	+
155	10000	99.93003	99.97001	+
156	10000	99.94002	99.99000	+
157	10000	99.94003	99.96002	+
158	10000	99.93001	100.02000	+
159	10000	99.96000	100.02000	+
16	10000	99.96001	99.98000	+
160	10000	99.88006	99.95002	+
161	10000	99.91004	99.97001	+
162	10000	99.91006	99.95002	+
163	10000	99.95002	99.96002	+
164	10000	99.95001	99.99000	+
165	10000	99.97001	99.98000	+
166	10000	99.96001	100.00000	+
167	10000	99.99000	99.99000	+
168	10000	99.91005	99.95002	+
169	10000	99.94002	99.98000	+
17	10000	99.91004	99.98000	+
170	10000	99.95001	100.01000	+
171	10000	99.94995	99.98999	+
172	10000	99.94002	99.98000	+
173	10000	99.88011	99.91008	+
174	10000	99.94002	99.97001	+
175	10000	99.93003	99.98000	+
176	10000	99.93004	99.95002	+
177	10000	99.92004	99.96002	+
178	10000	99.92004	99.98000	+
179	10000	99.94003	99.96002	+
18	10000	99.91004	99.98000	+
180	10000	99.95002	99.97001	+
181	10000	99.93003	99.97001	+
182	10000	99.95001	99.99000	+
183	10000	99.98000	99.98000	+
184	10000	99.92006	99.92006	+
185	10000	99.92003	100.00000	+
186	10000	99.93003	99.96002	+
187	10000	99.97000	100.01000	+
188	10000	99.94003	99.96002	+
189	10000	99.97001	99.99000	+
19	10000	99.93003	99.96002	+
190	10000	99.98000	100.00000	+
191	10000	99.96001	99.97001	+
192	10000	99.94003	99.96002	+
193	10000	99.96002	99.96002	+
194	10000	99.98000	99.98000	+
195	10000	99.94002	99.98000	+
196	10000	99.90007	99.96002	+
197	10000	99.92004	99.97001	+
198	10000	99.96002	99.96002	+
199	10000	99.91007	99.93005	+
2	10000	99.88011	99.93005	+
20	10000	99.92006	99.94004	+
200	10000	99.93001	100.01000	+
201	10000	99.86015	99.90010	+
202	10000	99.98000	100.00000	+
203	10000	99.97001	99.97001	+
204	10000	99.91005	99.95002	+
205	10000	99.96002	99.96002	+
206	10000	99.91006	99.95002	+
207	10000	99.93004	99.95002	+
208	10000	99.90006	99.94004	+
209	10000	99.95001	99.97001	+
21	10000	99.95001	100.00000	+
210	10000	99.94003	99.95002	+
211	10000	99.92003	99.98000	+
212	10000	99.96001	99.98000	+
213	10000	99.99000	99.99000	+
214	10000	99.95001	99.98000	+
215	10000	99.96001	99.97001	+
216	10000	99.97000	100.01000	+
217	10000	99.97001	99.98000	+
218	10000	99.94002	99.98000	+
219	10000	99.92003	99.98000	+
22	10000	99.96002	99.96002	+
220	10000	99.95001	99.99000	+
221	10000	99.96001	99.98000	+
222	10000	99.88012	99.92006	+
223	10000	99.93004	99.95002	+
224	10000	99.94002	99.97001	+
225	10000	99.90007	99.96002	+
226	10000	99.94004	99.94004	+
227	10000	99.95002	99.96002	+
228	10000	99.91007	99.93005	+
229	10000	99.92004	99.97001	+
23	10000	99.95001	99.99000	+
230	10000	99.90006	99.95002	+
231	10000	99.96001	99.99000	+
232	10000	99.95001	99.99000	+
233	10000	99.92004	99.95002	+
234	10000	99.96002	99.96002	+
235	10000	99.91003	100.02000	+
236	10000	99.94001	100.02000	+
237	10000	99.93004	99.94004	+
238	10000	99.95001	99.97001	+
239	10000	99.98000	99.98000	+
24	10000	100.00000	100.00000	+
240	10000	99.97001	99.99000	+
241	10000	99.96001	99.99000	+
242	10000	99.93002	99.97001	+
243	10000	99.88008	99.97001	+
244	10000	99.94002	99.97001	+
245	10000	99.94003	99.95002	+
246	10000	99.95002	99.96002	+
247	10000	99.94998	99.96999	+
248	10000	99.96001	99.97001	+
249	10000	99.98000	99.98000	+
25	10000	99.96001	99.98000	+
250	10000	99.99000	99.99000	+
251	10000	99.91003	100.03001	+
252	10000	99.94001	100.03001	+
253	10000	99.93002	99.99000	+
254	10000	99.92006	99.92006	+
255	10000	99.91007	99.93005	+
256	10000	99.94001	100.02000	+
257	10000	99.93005	99.93005	+
258	10000	99.98000	100.00000	+
259	10000	99.95002	99.97001	+
26	10000	99.95000	100.01000	+
260	10000	99.92004	99.98000	+
261	10000	99.94003	99.96002	+
262	10000	99.91005	99.95002	+
263	10000	99.96002	99.96002	+
264	10000	99.97001	99.99000	+
265	10000	99.92006	99.94004	+
266	10000	99.90006	99.96002	+
267	10000	99.93003	99.97001	+
268	10000	99.95002	99.96002	+
269	10000	99.95002	99.96002	+
27	10000	99.91005	99.97001	+
270	10000	99.90005	99.98000	+
271	10000	99.90007	99.94004	+
272	10000	99.96001	100.00000	+
273	10000	99.92006	99.92006	+
274	10000	99.93004	99.95002	+
275	10000	99.89010	99.93005	+
276	10000	99.93003	99.98000	+
277	10000	99.96001	99.97001	+
278	10000	99.93003	99.98000	+
279	10000	99.95001	99.98000	+
28	10000	99.97000	100.01000	+
280	10000	99.85007	100.01000	+
281	10000	99.94003	99.95002	+
282	10000	99.95002	99.95002	+
283	10000	99.93003	99.97001	+
284	10000	99.94004	99.94004	+
285	10000	99.92003	100.00000	+
286	10000	99.89010	99.93005	+
287	10000	99.93003	99.95002	+
288	10000	99.92006	99.94004	+
289	10000	99.91005	99.95002	+
29	10000	99.99000	100.00000	+
290	10000	99.90009	99.92006	+
291	10000	99.93003	99.99000	+
292	10000	99.90007	99.95002	+
293	10000	99.89010	99.93005	+
294	10000	99.96001	100.00000	+
295	10000	99.92004	99.96002	+
296	10000	99.91005	99.94004	+
297	10000	99.96002	99.96002	+
298	10000	99.91006	99.94004	+
299	10000	99.94003	99.96002	+
3	10000	99.94004	99.94004	+
30	10000	99.95001	99.99000	+
300	10000	99.89011	99.91008	+
301	10000	99.95001	99.98000	+
302	10000	99.88013	99.89012	+
303	10000	99.96002	99.96002	+
304	10000	99.95995	99.97997	+
305	10000	99.89011	99.91008	+
306	10000	99.93003	99.95002	+
307	10000	99.90009	99.92006	+
308	10000	99.94004	99.94004	+
309	10000	99.97001	99.99000	+
31	10000	99.96002	99.96002	+
310	10000	99.91008	99.91008	+
311	10000	99.95002	99.95002	+
312	10000	99.94002	99.99000	+
313	10000	99.87009	99.96002	+
314	10000	99.95001	100.01000	+
315	10000	99.91006	99.94004	+
316	10000	99.98000	99.98000	+
317	10000	99.92006	99.92006	+
318	10000	99.93003	99.97001	+
319	10000	99.96001	99.99000	+
32	10000	100.00000	100.00000	+
320	10000	99.94002	99.98000	+
321	10000	99.89008	99.97001	+
322	10000	99.91005	99.97001	+
323	10000	99.91007	99.93005	+
324	10000	99.92005	99.96002	+
325	10000	99.91005	99.96002	+
326	10000	99.94002	99.97001	+
327	10000	99.92005	99.96002	+
328	10000	99.92004	99.96002	+
329	10000	99.92005	99.94004	+
33	10000	99.94002	100.00000	+
330	10000	99.93005	99.93005	+
331	10000	99.88012	99.91008	+
332	10000	99.95002	99.97001	+
333	10000	99.90008	99.94004	+
334	10000	99.94004	99.94004	+
335	10000	99.94002	99.97001	+
336	10000	99.91007	99.92006	+
337	10000	99.90005	100.00000	+
338	10000	99.91007	99.92006	+
339	10000	99.89007	99.97001	+
34	10000	99.92996	99.94996	+
340	10000	99.90006	99.95002	+
341	10000	99.93004	99.94004	+
342	10000	99.89011	99.90010	+
343	10000	99.97001	99.99000	+
344	10000	99.95002	99.95002	+
345	10000	99.90007	99.93005	+
346	10000	99.97001	99.99000	+
347	10000	99.94003	99.95002	+
348	10000	99.95002	99.97001	+
349	10000	99.90006	99.95002	+
35	10000	99.90009	99.91008	+
350	10000	99.91003	100.00000	+
351	10000	99.95001	99.99000	+
352	10000	99.95001	100.00000	+
353	10000	99.96002	99.96002	+
354	10000	99.94003	99.95002	+
355	10000	99.93005	99.93005	+
356	10000	99.94002	99.98000	+
357	10000	99.95002	99.95002	+
358	10000	99.94002	99.96002	+
359	10000	99.92006	99.92006	+
36	10000	99.96001	100.00000	+
360	10000	99.95002	99.95002	+
361	10000	99.93004	99.95002	+
362	10000	99.91005	99.94004	+
363	10000	99.96002	99.96002	+
364	10000	99.96001	99.97001	+
365	10000	99.93002	100.01000	+
366	10000	99.94004	99.94004	+
367	10000	99.92006	99.93005	+
368	10000	99.95002	99.95002	+
369	10000	99.96001	99.97001	+
37	10000	99.96001	100.00000	+
370	10000	99.95002	99.95002	+
371	10000	99.96002	99.96002	+
372	10000	99.97001	99.99000	+
373	10000	99.88012	99.92006	+
374	10000	99.94003	99.96002	+
375	10000	99.99000	100.01000	+
376	10000	99.96001	100.00000	+
377	10000	99.93004	99.94004	+
378	10000	99.92004	99.98000	+
379	10000	99.97001	99.98000	+
38	10000	99.92006	99.92006	+
380	10000	99.96002	99.96002	+
381	10000	99.95001	99.99000	+
382	10000	99.93003	99.98000	+
383	10000	99.92006	99.94004	+
384	10000	99.92005	99.96002	+
385	10000	99.94002	99.97001	+
386	10000	99.99000	100.01000	+
387	10000	99.96001	99.97001	+
388	10000	99.94003	99.95002	+
389	10000	99.98000	100.00000	+
39	10000	99.92005	99.95002	+
390	10000	99.94002	99.98000	+
391	10000	99.93005	99.93005	+
392	10000	99.90991	99.90991	+
393	10000	99.93003	99.99000	+
394	10000	99.92006	99.92006	+
395	10000	99.93005	99.93005	+
396	10000	99.95002	99.97001	+
397	10000	99.95001	99.99000	+
398	10000	99.93002	99.97001	+
399	10000	99.92005	99.94004	+
4	10000	99.88006	100.00000	+
40	10000	99.95002	99.96002	+
400	10000	99.91007	99.93005	+
401	10000	99.96000	100.00000	+
402	10000	99.95001	100.01000	+
403	10000	99.94003	99.96002	+
404	10000	99.97001	99.97001	+
405	10000	99.95001	99.98000	+
406	10000	99.90006	99.96002	+
407	10000	99.94002	99.98000	+
408	10000	99.95001	99.99000	+
409	10000	99.93004	99.95002	+
41	10000	99.94002	99.97001	+
410	10000	99.94002	100.00000	+
411	10000	99.95001	99.99000	+
412	10000	99.94002	99.96002	+
413	10000	99.94002	99.98000	+
414	10000	99.90009	99.91008	+
415	10000	99.96000	100.02000	+
416	10000	99.92005	99.95002	+
417	10000	99.91005	99.97001	+
418	10000	99.94004	99.94004	+
419	10000	99.95001	99.99000	+
42	10000	99.97000	100.00000	+
420	10000	99.92006	99.92006	+
421	10000	99.98000	99.98000	+
422	10000	99.94004	99.94004	+
423	10000	99.94001	100.01000	+
424	10000	99.96001	99.98000	+
425	10000	99.92005	99.95002	+
426	10000	99.94003	99.96002	+
427	10000	99.98000	99.99000	+
428	10000	99.96002	99.96002	+
429	10000	99.92003	100.00000	+
43	10000	99.98000	99.98000	+
430	10000	99.82023	99.91008	+
431	10000	99.96000	100.00000	+
432	10000	99.92006	99.94004	+
433	10000	99.95001	100.01000	+
434	10000	99.94004	99.94004	+
435	10000	99.92003	99.98000	+
436	10000	99.93004	99.95002	+
437	10000	99.98000	99.98000	+
438	10000	99.96001	99.99000	+
439	10000	99.96001	99.97001	+
44	10000	99.92005	99.96002	+
440	10000	99.97001	99.98000	+
441	10000	99.94002	99.98000	+
442	10000	99.97001	99.99000	+
443	10000	99.96002	99.96002	+
444	10000	99.94003	99.96002	+
445	10000	99.83020	99.91008	+
446	10000	99.93005	99.93005	+
447	10000	99.88010	99.96002	+
448	10000	99.94002	100.00000	+
449	10000	99.90006	99.96002	+
45	10000	99.93003	99.97001	+
450	10000	99.92005	99.95002	+
451	10000	99.95002	99.95002	+
452	10000	99.93005	99.93005	+
453	10000	99.93003	99.96002	+
454	10000	99.90010	99.90010	+
455	10000	99.96001	99.98000	+
456	10000	99.98000	99.98000	+
457	10000	99.96002	99.96002	+
458	10000	99.96002	99.96002	+
459	10000	99.97001	99.97001	+
46	10000	99.87004	99.98000	+
460	10000	99.88008	99.96002	+
461	10000	99.91006	99.95002	+
462	10000	99.93003	99.98000	+
463	10000	99.96001	99.97001	+
464	10000	99.98000	100.01000	+
465	10000	99.96001	100.00000	+
466	10000	99.89009	99.94004	+
467	10000	99.92003	100.00000	+
468	10000	99.93003	99.97001	+
469	10000	99.95002	99.96002	+
47	10000	99.80008	99.98000	+
470	10000	99.94001	100.03001	+
471	10000	99.99000	99.99000	+
472	10000	99.90007	99.96002	+
473	10000	99.94004	99.94004	+
474	10000	99.97001	99.99000	+
475	10000	99.94002	99.98000	+
476	10000	99.96002	99.96002	+
477	10000	99.96000	100.02000	+
478	10000	99.94004	99.94004	+
479	10000	99.94002	99.98000	+
48	10000	99.97001	99.99000	+
480	10000	99.95001	99.99000	+
481	10000	99.95002	99.97001	+
482	10000	99.92004	99.97001	+
483	10000	99.92006	99.92006	+
484	10000	99.96002	99.96002	+
485	10000	99.93003	99.96002	+
486	10000	99.93003	99.99000	+
487	10000	99.92005	99.96002	+
488	10000	99.93003	99.99000	+
489	10000	99.95000	100.03001	+
49	10000	99.94002	99.99000	+
490	10000	99.91005	99.97001	+
491	10000	99.97001	99.97001	+
492	10000	99.92006	99.92006	+
493	10000	99.91007	99.93005	+
494	10000	99.96001	100.00000	+
495	10000	99.94004	99.94004	+
496	10000	99.92003	99.98000	+
497	10000	99.95001	99.97001	+
498	10000	99.94002	99.97001	+
499	10000	99.91007	99.93005	+
5	10000	99.91007	99.93005	+
50	10000	99.88004	100.01000	+
500	10000	99.93004	99.95002	+
501	10000	99.95002	99.97001	+
502	10000	99.94002	100.00000	+
503	10000	99.94004	99.94004	+
504	10000	99.87010	99.97001	+
505	10000	99.95002	99.95002	+
506	10000	99.96001	99.98000	+
507	10000	99.94001	100.01000	+
508	10000	99.97001	99.99000	+
509	10000	99.93004	99.94004	+
51	10000	99.96000	100.02000	+
510	10000	99.92005	99.96002	+
52	10000	99.96001	100.00000	+
53	10000	99.91007	99.93005	+
54	10000	99.96001	99.97001	+
55	10000	99.96001	99.98000	+
56	10000	99.95001	99.99000	+
57	10000	99.99000	99.99000	+
58	10000	99.95001	99.98000	+
59	10000	99.95001	99.99000	+
6	10000	99.98000	100.00000	+
60	10000	99.97001	99.99000	+
61	10000	99.97001	99.97001	+
62	10000	99.97000	100.01000	+
63	10000	99.97001	99.98000	+
64	10000	99.97001	99.97001	+
65	10000	99.95001	99.97001	+
66	10000	99.94002	99.97001	+
67	10000	99.97001	99.99000	+
68	10000	99.87006	99.99000	+
69	10000	99.88008	99.96002	+
7	10000	99.90006	99.98000	+
70	10000	99.96001	99.98000	+
71	10000	99.94002	99.96002	+
72	10000	99.98000	99.98000	+
73	10000	99.93003	99.95002	+
74	10000	99.92006	99.94004	+
75	10000	99.95002	99.96002	+
76	10000	99.90008	99.93005	+
77	10000	99.94002	99.98000	+
78	10000	99.95002	99.97001	+
79	10000	99.96002	99.96002	+
8	10000	99.97001	99.99000	+
80	10000	99.93005	99.93005	+
81	10000	99.97001	99.99000	+
82	10000	99.95998	99.96998	+
83	10000	99.92004	99.98000	+
84	10000	99.96996	100.02003	+
85	10000	99.90003	99.97001	+
86	10000	99.90009	99.91008	+
87	10000	99.96001	100.00000	+
88	10000	99.92004	99.95002	+
89	10000	99.92002	100.02000	+
9	10000	99.94001	100.01000	+
90	10000	99.95001	99.97001	+
91	10000	99.95002	99.97001	+
92	10000	99.94002	99.98000	+
93	10000	99.95002	99.96002	+
94	10000	99.93003	99.96002	+
95	10000	99.95002	99.96002	+
96	10000	99.95001	99.98000	+
97	10000	99.94003	99.96002	+
98	10000	99.91004	99.97001	+
99	10000	99.96001	99.98000	+
